id,lat,lon,element,first_year,last_year,state,name,elev
USC00044297,34.1472,-115.1219,PRCP,1935,2026,CA,IRON MTN,281
USC00044374,41.2706,-120.2983,PRCP,1948,2026,CA,JESS VALLEY,1621.2
USC00044405,34.1472,-116.2747,PRCP,1959,2026,CA,JOSHUA TREE,781.2
USC00044412,33.0764,-116.5925,PRCP,1893,2026,CA,JULIAN CDF,1284.7
USC00044422,34.4908,-119.5069,PRCP,1941,2026,CA,JUNCAL DAM,688.8
USC00044484,38.8089,-120.8208,PRCP,1972,2026,CA,KELSEY 1 N,609.6
USC00044500,37.9567,-122.5447,PRCP,1902,2026,CA,KENTFIELD,44.2
USC00044534,36.0067,-119.96,PRCP,1955,2026,CA,KETTLEMAN CITY,73.2
USC00044555,36.2069,-121.1378,PRCP,1902,2026,CA,KING CITY,97.5
USC00044710,32.8536,-116.8947,PRCP,1967,2026,CA,LAKESIDE 2 E,210.3
USC00044712,38.4919,-122.0039,PRCP,1975,2026,CA,LAKE SOLANO,57
USC00044838,41.7117,-121.5067,PRCP,1959,2026,CA,LAVA BEDS NAT MON,1455.4
USC00044890,36.3817,-119.0264,PRCP,1899,2026,CA,LEMON COVE,156.4
USC00044957,36.2033,-119.0545,PRCP,1913,2026,CA,LINDSAY,132.6
USC00044997,37.6819,-121.7514,PRCP,1903,2026,CA,LIVERMORE,161.2
USC00045026,36.6044,-118.7325,PRCP,1968,2025,CA,LODGEPOLE,2052.8
USC00045064,34.6539,-120.4514,PRCP,1917,2026,CA,LOMPOC,22.9
USC00045118,37.0564,-120.8667,PRCP,1906,2026,CA,LOS BANOS,36.6
USC00045119,36.875,-120.9386,PRCP,1932,2026,CA,LOS BANOS ARBURUA RCH,256.9
USC00045151,35.6181,-119.6892,PRCP,1948,2026,CA,LOST HILLS,87.8
USC00045311,40.5411,-121.5767,PRCP,1949,2025,CA,MANZANITA LAKE,1752.6
USC00045360,38.4917,-122.1242,PRCP,1970,2026,CA,MARKLEY COVE,146.3
USC00045449,41.2517,-122.1383,PRCP,1909,2026,CA,MCCLOUD,985.4
USC00045502,33.5697,-116.0731,PRCP,1905,2026,CA,MECCA FIRE STN,-55.8
USC00045532,37.2889,-120.5158,PRCP,1899,2026,CA,MERCED,46.9
USC00045598,38.7478,-122.6258,PRCP,1893,2026,CA,MIDDLETOWN,341.7
USC00045679,40.3458,-121.6092,PRCP,1909,2026,CA,MINERAL,1485.9
USC00045795,36.5928,-121.8556,PRCP,1906,2026,CA,MONTEREY,37.2
USC00045866,35.3669,-120.8447,PRCP,1959,2026,CA,MORRO BAY FIRE DEPT,36
USC00045915,37.8792,-121.9303,PRCP,1952,2026,CA,MT DIABLO JUNCTION,661.4
USC00045933,37.3433,-121.6347,PRCP,1948,2026,CA,MT HAMILTON,1286.3
USC00045941,41.7833,-122.0447,PRCP,1907,2024,CA,MT HEBRON RS,1300
USC00045983,41.3217,-122.3172,PRCP,1948,2026,CA,MT SHASTA,1101.2
USC00046006,34.2308,-118.0711,PRCP,1948,2026,CA,MT WILSON CBS,1740.4
USC00046027,37.8978,-122.5689,PRCP,1940,2026,CA,MUIR WOODS,67.1
USC00046074,38.2778,-122.2647,PRCP,1893,2026,CA,NAPA STATE HOSPITAL,10.7
USC00046136,39.2467,-121.0008,PRCP,1893,2026,CA,NEVADA CITY,847.6
USC00046154,34.9456,-119.6828,PRCP,1974,2026,CA,NEW CUYAMA FIRE STN,658.4
USC00046168,37.2811,-121.0178,PRCP,1902,2026,CA,NEWMAN,27.4
USC00046175,33.6031,-117.8836,PRCP,1921,2026,CA,NEWPORT BEACH HARBOR,3
USC00046194,38.9261,-121.5447,PRCP,1962,2026,CA,NICOLAUS #2,13.1
USC00046197,33.2775,-115.5239,PRCP,1914,2026,CA,NILAND,-18.3
USC00046252,37.2328,-119.5097,PRCP,1904,2026,CA,N FK RS,806.2
